gene_id	control_01.sorted	control_02.sorted	control_03.sorted	control_04.sorted	control_05.sorted	control_06.sorted	control_07.sorted	control_08.sorted	control_09.sorted	control_10.sorted	control_11.sorted	control_12.sorted	control_13.sorted	control_14.sorted	control_15.sorted	control_16.sorted	control_17.sorted	control_18.sorted	control_19.sorted	control_20.sorted	treatment_01.sorted	treatment_02.sorted	treatment_03.sorted	treatment_04.sorted	treatment_05.sorted	treatment_06.sorted	treatment_07.sorted	treatment_08.sorted	treatment_09.sorted	treatment_10.sorted	treatment_11.sorted	treatment_12.sorted	treatment_13.sorted	treatment_14.sorted	treatment_15.sorted	treatment_16.sorted	treatment_17.sorted	treatment_18.sorted	treatment_19.sorted	treatment_20.sorted
gene-b0001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
gene-b0002	1809.000	1702.000	1919.000	1913.000	1744.000	1865.000	1875.000	1846.000	1845.000	1918.000	1714.000	1745.000	1605.000	1819.000	1892.000	1804.000	2001.000	1873.000	1703.000	1866.000	1626.000	1956.000	1741.000	1944.000	1754.000	1971.000	1819.000	1950.000	1958.000	1943.000	1852.000	1774.000	1859.000	1868.000	1695.000	1843.000	1778.000	1870.000	1866.000	1662.000
gene-b0003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
gene-b0004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
gene-b0005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
gene-b0006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
gene-b0007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
gene-b0008	304.000	277.000	258.000	257.000	324.000	251.000	367.000	277.000	353.000	308.000	298.000	281.000	303.000	228.000	329.000	267.000	323.000	260.000	293.000	243.000	286.000	369.000	236.000	250.000	339.000	254.000	365.000	249.000	242.000	298.000	258.000	314.000	256.000	254.000	352.000	404.000	307.000	344.000	359.000	286.000
gene-b0009	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
gene-b0010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
